state,year,stateyear,count
Alabama,1980,Alabama1980,513
Alabama,1981,Alabama1981,453
Alabama,1982,Alabama1982,424
Alabama,1983,Alabama1983,372
Alabama,1984,Alabama1984,382
Alabama,1985,Alabama1985,397
Alabama,1986,Alabama1986,407
Alabama,1987,Alabama1987,336
Alabama,1988,Alabama1988,389
Alabama,1989,Alabama1989,416
Alabama,1990,Alabama1990,463
Alabama,1991,Alabama1991,434
Alabama,1992,Alabama1992,391
Alabama,1993,Alabama1993,477
Alabama,1994,Alabama1994,501
Alabama,1995,Alabama1995,467
Alabama,1996,Alabama1996,430
Alabama,1997,Alabama1997,415
Alabama,1998,Alabama1998,343
Alabama,1999,Alabama1999,15
Alabama,2000,Alabama2000,235
Alabama,2001,Alabama2001,347
Alabama,2002,Alabama2002,292
Alabama,2003,Alabama2003,295
Alabama,2004,Alabama2004,253
Alabama,2005,Alabama2005,327
Alabama,2006,Alabama2006,358
Alabama,2007,Alabama2007,392
Alabama,2008,Alabama2008,338
Alabama,2009,Alabama2009,318
Alabama,2010,Alabama2010,191
Alabama,2012,Alabama2012,2
Alabama,2013,Alabama2013,2
Alabama,2014,Alabama2014,1
Alaska,1980,Alaska1980,47
Alaska,1981,Alaska1981,69
Alaska,1982,Alaska1982,75
Alaska,1983,Alaska1983,74
Alaska,1984,Alaska1984,52
Alaska,1985,Alaska1985,50
Alaska,1986,Alaska1986,47
Alaska,1987,Alaska1987,48
Alaska,1988,Alaska1988,30
Alaska,1989,Alaska1989,41
Alaska,1990,Alaska1990,37
Alaska,1991,Alaska1991,45
Alaska,1992,Alaska1992,44
Alaska,1993,Alaska1993,60
Alaska,1994,Alaska1994,44
Alaska,1995,Alaska1995,54
Alaska,1996,Alaska1996,41
Alaska,1997,Alaska1997,55
Alaska,1998,Alaska1998,42
Alaska,1999,Alaska1999,56
Alaska,2000,Alaska2000,35
Alaska,2001,Alaska2001,39
Alaska,2002,Alaska2002,41
Alaska,2003,Alaska2003,44
Alaska,2004,Alaska2004,44
Alaska,2005,Alaska2005,37
Alaska,2006,Alaska2006,42
Alaska,2007,Alaska2007,53
Alaska,2008,Alaska2008,27
Alaska,2009,Alaska2009,36
Alaska,2010,Alaska2010,43
Alaska,2011,Alaska2011,36
Alaska,2012,Alaska2012,40
Alaska,2013,Alaska2013,41
Alaska,2014,Alaska2014,48
Arizona,1980,Arizona1980,293
Arizona,1981,Arizona1981,237
Arizona,1982,Arizona1982,247
Arizona,1983,Arizona1983,225
Arizona,1984,Arizona1984,248
Arizona,1985,Arizona1985,264
Arizona,1986,Arizona1986,321
Arizona,1987,Arizona1987,266
Arizona,1988,Arizona1988,306
Arizona,1989,Arizona1989,291
Arizona,1990,Arizona1990,301
Arizona,1991,Arizona1991,308
Arizona,1992,Arizona1992,345
Arizona,1993,Arizona1993,362
Arizona,1994,Arizona1994,438
Arizona,1995,Arizona1995,478
Arizona,1996,Arizona1996,390
Arizona,1997,Arizona1997,401
Arizona,1998,Arizona1998,396
Arizona,1999,Arizona1999,424
Arizona,2000,Arizona2000,385
Arizona,2001,Arizona2001,448
Arizona,2002,Arizona2002,446
Arizona,2003,Arizona2003,482
Arizona,2004,Arizona2004,458
Arizona,2005,Arizona2005,473
Arizona,2006,Arizona2006,509
Arizona,2007,Arizona2007,516
Arizona,2008,Arizona2008,403
Arizona,2009,Arizona2009,370
Arizona,2010,Arizona2010,400
Arizona,2011,Arizona2011,379
Arizona,2012,Arizona2012,365
Arizona,2013,Arizona2013,383
Arizona,2014,Arizona2014,313
Arkansas,1980,Arkansas1980,214
Arkansas,1981,Arkansas1981,209
Arkansas,1982,Arkansas1982,195
Arkansas,1983,Arkansas1983,199
Arkansas,1984,Arkansas1984,183
Arkansas,1985,Arkansas1985,188
Arkansas,1986,Arkansas1986,202
Arkansas,1987,Arkansas1987,187
Arkansas,1988,Arkansas1988,216
Arkansas,1989,Arkansas1989,219
Arkansas,1990,Arkansas1990,254
Arkansas,1991,Arkansas1991,269
Arkansas,1992,Arkansas1992,255
Arkansas,1993,Arkansas1993,264
Arkansas,1994,Arkansas1994,303
Arkansas,1995,Arkansas1995,267
Arkansas,1996,Arkansas1996,219
Arkansas,1997,Arkansas1997,255
Arkansas,1998,Arkansas1998,209
Arkansas,1999,Arkansas1999,151
Arkansas,2000,Arkansas2000,163
Arkansas,2001,Arkansas2001,147
Arkansas,2002,Arkansas2002,146
Arkansas,2003,Arkansas2003,157
Arkansas,2004,Arkansas2004,157
Arkansas,2005,Arkansas2005,181
Arkansas,2006,Arkansas2006,205
Arkansas,2007,Arkansas2007,198
Arkansas,2008,Arkansas2008,160
Arkansas,2009,Arkansas2009,173
Arkansas,2010,Arkansas2010,141
Arkansas,2011,Arkansas2011,160
Arkansas,2012,Arkansas2012,176
Arkansas,2013,Arkansas2013,156
Arkansas,2014,Arkansas2014,169
California,1980,California1980,3590
California,1981,California1981,2885
California,1982,California1982,2976
California,1983,California1983,2830
California,1984,California1984,2888
California,1985,California1985,2986
California,1986,California1986,3260
California,1987,California1987,3166
California,1988,California1988,3135
California,1989,California1989,3412
California,1990,California1990,3862
California,1991,California1991,4146
California,1992,California1992,4195
California,1993,California1993,4369
California,1994,California1994,3962
California,1995,California1995,3760
California,1996,California1996,3101
California,1997,California1997,2773
California,1998,California1998,2353
California,1999,California1999,2132
California,2000,California2000,2219
California,2001,California2001,2357
California,2002,California2002,2549
California,2003,California2003,2584
California,2004,California2004,2566
California,2005,California2005,2651
California,2006,California2006,2649
California,2007,California2007,2425
California,2008,California2008,2142
California,2009,California2009,2132
California,2010,California2010,1948
California,2011,California2011,1931
California,2012,California2012,2047
California,2013,California2013,1930
California,2014,California2014,1872
Colorado,1980,Colorado1980,198
Colorado,1981,Colorado1981,230
Colorado,1982,Colorado1982,193
Colorado,1983,Colorado1983,214
Colorado,1984,Colorado1984,192
Colorado,1985,Colorado1985,204
Colorado,1986,Colorado1986,247
Colorado,1987,Colorado1987,211
Colorado,1988,Colorado1988,206
Colorado,1989,Colorado1989,166
Colorado,1990,Colorado1990,166
Colorado,1991,Colorado1991,213
Colorado,1992,Colorado1992,232
Colorado,1993,Colorado1993,221
Colorado,1994,Colorado1994,187
Colorado,1995,Colorado1995,219
Colorado,1996,Colorado1996,182
Colorado,1997,Colorado1997,175
Colorado,1998,Colorado1998,195
Colorado,1999,Colorado1999,201
Colorado,2000,Colorado2000,134
Colorado,2001,Colorado2001,154
Colorado,2002,Colorado2002,181
Colorado,2003,Colorado2003,190
Colorado,2004,Colorado2004,216
Colorado,2005,Colorado2005,177
Colorado,2006,Colorado2006,176
Colorado,2007,Colorado2007,161
Colorado,2008,Colorado2008,152
Colorado,2009,Colorado2009,165
Colorado,2010,Colorado2010,145
Colorado,2011,Colorado2011,167
Colorado,2012,Colorado2012,172
Colorado,2013,Colorado2013,186
Colorado,2014,Colorado2014,165
Connecticut,1980,Connecticut1980,158
Connecticut,1981,Connecticut1981,155
Connecticut,1982,Connecticut1982,164
Connecticut,1983,Connecticut1983,130
Connecticut,1984,Connecticut1984,116
Connecticut,1985,Connecticut1985,124
Connecticut,1986,Connecticut1986,148
Connecticut,1987,Connecticut1987,162
Connecticut,1988,Connecticut1988,181
Connecticut,1989,Connecticut1989,197
Connecticut,1990,Connecticut1990,177
Connecticut,1991,Connecticut1991,172
Connecticut,1992,Connecticut1992,181
Connecticut,1993,Connecticut1993,222
Connecticut,1994,Connecticut1994,220
Connecticut,1995,Connecticut1995,156
Connecticut,1996,Connecticut1996,166
Connecticut,1997,Connecticut1997,132
Connecticut,1998,Connecticut1998,144
Connecticut,1999,Connecticut1999,117
Connecticut,2000,Connecticut2000,100
Connecticut,2001,Connecticut2001,112
Connecticut,2002,Connecticut2002,86
Connecticut,2003,Connecticut2003,110
Connecticut,2004,Connecticut2004,103
Connecticut,2005,Connecticut2005,111
Connecticut,2006,Connecticut2006,113
Connecticut,2007,Connecticut2007,109
Connecticut,2008,Connecticut2008,132
Connecticut,2009,Connecticut2009,106
Connecticut,2010,Connecticut2010,134
Connecticut,2011,Connecticut2011,130
Connecticut,2012,Connecticut2012,145
Connecticut,2013,Connecticut2013,93
Connecticut,2014,Connecticut2014,90
Delaware,1980,Delaware1980,44
Delaware,1981,Delaware1981,41
Delaware,1982,Delaware1982,36
Delaware,1983,Delaware1983,27
Delaware,1984,Delaware1984,24
Delaware,1985,Delaware1985,32
Delaware,1986,Delaware1986,32
Delaware,1987,Delaware1987,32
Delaware,1988,Delaware1988,34
Delaware,1989,Delaware1989,33
Delaware,1990,Delaware1990,33
Delaware,1991,Delaware1991,39
Delaware,1992,Delaware1992,20
Delaware,1993,Delaware1993,22
Delaware,1994,Delaware1994,14
Delaware,1995,Delaware1995,9
Delaware,1996,Delaware1996,33
Delaware,1997,Delaware1997,16
Delaware,1998,Delaware1998,24
Delaware,1999,Delaware1999,25
Delaware,2000,Delaware2000,27
Delaware,2001,Delaware2001,29
Delaware,2002,Delaware2002,30
Delaware,2003,Delaware2003,21
Delaware,2004,Delaware2004,28
Delaware,2005,Delaware2005,41
Delaware,2006,Delaware2006,42
Delaware,2007,Delaware2007,39
Delaware,2008,Delaware2008,57
Delaware,2009,Delaware2009,44
Delaware,2010,Delaware2010,52
Delaware,2011,Delaware2011,48
Delaware,2012,Delaware2012,57
Delaware,2013,Delaware2013,41
Delaware,2014,Delaware2014,53
District of Columbia,1980,District of Columbia1980,180
District of Columbia,1981,District of Columbia1981,232
District of Columbia,1982,District of Columbia1982,204
District of Columbia,1983,District of Columbia1983,188
District of Columbia,1984,District of Columbia1984,175
District of Columbia,1985,District of Columbia1985,149
District of Columbia,1986,District of Columbia1986,154
District of Columbia,1987,District of Columbia1987,225
District of Columbia,1988,District of Columbia1988,375
District of Columbia,1989,District of Columbia1989,439
District of Columbia,1990,District of Columbia1990,481
District of Columbia,1991,District of Columbia1991,489
District of Columbia,1992,District of Columbia1992,450
District of Columbia,1993,District of Columbia1993,423
District of Columbia,1994,District of Columbia1994,417
District of Columbia,1995,District of Columbia1995,377
District of Columbia,1997,District of Columbia1997,309
District of Columbia,2001,District of Columbia2001,1
District of Columbia,2002,District of Columbia2002,252
District of Columbia,2003,District of Columbia2003,243
District of Columbia,2004,District of Columbia2004,189
District of Columbia,2005,District of Columbia2005,187
District of Columbia,2006,District of Columbia2006,166
District of Columbia,2007,District of Columbia2007,174
District of Columbia,2009,District of Columbia2009,157
District of Columbia,2010,District of Columbia2010,134
District of Columbia,2011,District of Columbia2011,116
District of Columbia,2013,District of Columbia2013,115
District of Columbia,2014,District of Columbia2014,114
Florida,1980,Florida1980,1508
Florida,1981,Florida1981,1586
Florida,1982,Florida1982,1482
Florida,1983,Florida1983,1262
Florida,1984,Florida1984,1319
Florida,1985,Florida1985,1308
Florida,1986,Florida1986,1427
Florida,1987,Florida1987,1410
Florida,1991,Florida1991,1
Florida,1992,Florida1992,1257
Florida,1993,Florida1993,1329
Florida,1994,Florida1994,1278
Florida,1995,Florida1995,1114
Florida,1996,Florida1996,1426
Florida,1997,Florida1997,1068
Florida,1998,Florida1998,1086
Florida,1999,Florida1999,916
Florida,2000,Florida2000,815
Florida,2001,Florida2001,927
Florida,2002,Florida2002,960
Florida,2003,Florida2003,976
Florida,2004,Florida2004,1011
Florida,2005,Florida2005,960
Florida,2006,Florida2006,1210
Florida,2007,Florida2007,1349
Florida,2008,Florida2008,1296
Florida,2009,Florida2009,1162
Florida,2010,Florida2010,1130
Florida,2011,Florida2011,1136
Florida,2012,Florida2012,1170
Florida,2013,Florida2013,1129
Florida,2014,Florida2014,1156
Georgia,1980,Georgia1980,475
Georgia,1981,Georgia1981,491
Georgia,1982,Georgia1982,574
Georgia,1983,Georgia1983,424
Georgia,1984,Georgia1984,511
Georgia,1985,Georgia1985,557
Georgia,1986,Georgia1986,652
Georgia,1987,Georgia1987,593
Georgia,1988,Georgia1988,731
Georgia,1989,Georgia1989,805
Georgia,1990,Georgia1990,737
Georgia,1991,Georgia1991,733
Georgia,1992,Georgia1992,681
Georgia,1993,Georgia1993,764
Georgia,1994,Georgia1994,699
Georgia,1995,Georgia1995,660
Georgia,1996,Georgia1996,644
Georgia,1997,Georgia1997,523
Georgia,1998,Georgia1998,531
Georgia,1999,Georgia1999,527
Georgia,2000,Georgia2000,508
Georgia,2001,Georgia2001,575
Georgia,2002,Georgia2002,603
Georgia,2003,Georgia2003,643
Georgia,2004,Georgia2004,549
Georgia,2005,Georgia2005,532
Georgia,2006,Georgia2006,586
Georgia,2007,Georgia2007,696
Georgia,2008,Georgia2008,619
Georgia,2009,Georgia2009,584
Georgia,2010,Georgia2010,565
Georgia,2011,Georgia2011,557
Georgia,2012,Georgia2012,584
Georgia,2013,Georgia2013,567
Georgia,2014,Georgia2014,608
Hawaii,1980,Hawaii1980,84
Hawaii,1981,Hawaii1981,46
Hawaii,1982,Hawaii1982,33
Hawaii,1983,Hawaii1983,57
Hawaii,1984,Hawaii1984,34
Hawaii,1985,Hawaii1985,43
Hawaii,1986,Hawaii1986,52
Hawaii,1987,Hawaii1987,53
Hawaii,1988,Hawaii1988,47
Hawaii,1989,Hawaii1989,51
Hawaii,1990,Hawaii1990,45
Hawaii,1991,Hawaii1991,46
Hawaii,1992,Hawaii1992,43
Hawaii,1993,Hawaii1993,44
Hawaii,1994,Hawaii1994,53
Hawaii,1995,Hawaii1995,58
Hawaii,1996,Hawaii1996,41
Hawaii,1997,Hawaii1997,48
Hawaii,1998,Hawaii1998,27
Hawaii,1999,Hawaii1999,43
Hawaii,2000,Hawaii2000,35
Hawaii,2001,Hawaii2001,36
Hawaii,2002,Hawaii2002,25
Hawaii,2003,Hawaii2003,23
